region,state,site_name,site_id,epa_id,address,city,zip,county,ff,lattude,longitude,final_date
01,CT,BARKHAMSTED-NEW HARTFORD LANDFILL,0100255,CTD980732333,ROUTE 44,BARKHAMSTED,06063,LITCHFIELD,N,+41.893947,-72.989337,1989-10-04
01,CT,BEACON HEIGHTS LANDFILL,0100180,CTD072122062,BLACKBERRY HILL ROAD,BEACON FALLS,06403,NEW HAVEN,N,+41.431950,-73.035281,1983-09-08
01,CT,DURHAM MEADOWS,0100108,CTD001452093,MAIN ST,DURHAM,06422,MIDDLESEX,N,+41.481110,-72.681388,1989-10-04
01,CT,GALLUP'S QUARRY,0100201,CTD108960972,ROUTE 12,PLAINFIELD,06374,WINDHAM,N,41.665281,-71.924161,1989-10-04
01,CT,KELLOGG-DEERING WELL FIELD,0100252,CTD980670814,NORWALK WATER DEPARTMENT,NORWALK,06856,FAIRFIELD,N,+41.130550,-073.431950,1984-09-21
01,CT,"LAUREL PARK, INC.",0100232,CTD980521165,HUNTERS MTN RD,NAUGATUCK BOROUGH,06770,NEW HAVEN,N,41.476939,-73.071661,1983-09-08
01,CT,LINEMASTER SWITCH CORP.,0100041,CTD001153923,29 PLAINE HILL ROAD,WOODSTOCK,06281,WINDHAM,N,41.940561,-71.966939,1990-02-21
01,CT,NEW LONDON SUBMARINE BASE,0100261,CTD980906515,ROUTE 12 CRYSTAL LAKE RD,NEW LONDON,06349,NEW LONDON,Y,41.400139,-72.087081,1990-08-30
01,CT,PRECISION PLATING CORP.,0100156,CTD051316313,1050 HARTFORD TURNPIKE ROAD,VERNON,06066,TOLLAND,N,+41.849750,-72.447911,1989-10-04
01,CT,"RAYMARK INDUSTRIES, INC.",0100094,CTD001186618,75 EAST MAIN STREET,STRATFORD,06614,FAIRFIELD,N,41.201278,-73.117222,1995-04-25
01,CT,SCOVILL INDUSTRIAL LANDFILL,0102953,CT0002265551,STORE AVENUE,WATERBURY,06705,NEW HAVEN,N,41.550389,-73.010639,2000-07-27
01,CT,SOLVENTS RECOVERY SERVICE OF NEW ENGLAND,0100124,CTD009717604,LAZY LANE,SOUTHINGTON,06489,HARTFORD,N,+41.619600,-072.878000,1983-09-08
01,CT,YAWORSKI WASTE LAGOON,0100125,CTD009774969,PACKER ROAD,CANTERBURY,06331,WINDHAM,N,+41.669450,-71.964161,1983-09-08
01,MA,ATLAS TACK CORP.,0100376,MAD001026319,PLEASANT ST,FAIRHAVEN,02719,BRISTOL,N,41.635561,-070.894450,1990-02-21
01,MA,BAIRD & MCGUIRE,0100392,MAD001041987,775 SOUTH ST,HOLBROOK,02343,NORFOLK,N,42.149719,-71.028611,1983-09-08
01,MA,BJAT LLC,0106144,MAN000106144,300 FISHER STREET,FRANKLIN,02038,NORFOLK,N,+42.074417,-71.410806,2015-09-30
01,MA,BLACKBURN & UNION PRIVILEGES,0101713,MAD982191363,SOUTH ST.,WALPOLE,02081,NORFOLK,N,42.138749,-71.251667,1994-05-31
01,MA,CHARLES GEORGE RECLAMATION TRUST LANDFILL,0100464,MAD003809266,CORNER DUNSTABLE & CUMMINGS RD,TYNGSBOROUGH,01879,MIDDLESEX,N,+42.669450,-71.443339,1983-09-08
01,MA,CREESE & COOK TANNERY (FORMER),0100380,MAD001031574,55 CLINTON AVENUE,DANVERS,01923,ESSEX,N,42.553111,-70.926722,2013-05-24
01,MA,FORT DEVENS,0100966,MA7210025154,BUENA VISTA ST,FORT DEVENS,01433,MIDDLESEX,Y,42.536111,-71.596111,1989-11-21
01,MA,GROVELAND WELLS,0100750,MAD980732317,JOHNSON CREEK WATERSHED,GROVELAND,01834,ESSEX,N,42.753331,-71.038889,1983-09-08
01,MA,HANSCOM FIELD/HANSCOM AIR FORCE BASE,0100967,MA8570024424,HARTWELL AVENUE,BEDFORD,01730,MIDDLESEX,Y,42.470666,-71.289444,1994-05-31
01,MA,HAVERHILL MUNICIPAL LANDFILL,0100717,MAD980523336,OLD GROVELAND RD,HAVERHILL,01830,ESSEX,N,42.753889,-71.046669,1986-06-10
01,MA,HOCOMONCO POND,0100751,MAD980732341,FISHER ST,WESTBOROUGH,01581,WORCESTER,N,42.272781,-71.650831,1983-09-08
01,MA,INDUSTRI-PLEX,0100580,MAD076580950,COMMERCE & ATLANTIC,WOBURN,01801,MIDDLESEX,N,42.516669,-71.141669,1983-09-08
01,MA,IRON HORSE PARK,0100524,MAD051787323,HIGH ST,BILLERICA,01862,MIDDLESEX,N,42.583331,-71.265269,1984-09-21
01,MA,MICROFAB INC (FORMER),0100442,MAD001409408,106 HAVERHILL RD (RTE 110),AMESBURY,01913,ESSEX,N,42.842394,-70.959842,2017-08-02
01,MA,"NATICK LABORATORY ARMY RESEARCH, DEVELOPMENT, AND",0101831,MA1210020631,100 KANSAS STREET,NATICK,01760,MIDDLESEX,Y,42.288889,-71.363611,1994-05-31
,,ENGINEERING CENTER,,,,,,,,,,NA
01,MA,NAVAL WEAPONS INDUSTRIAL RESERVE PLANT,0102032,MA6170023570,165 HARTWELL ROAD,BEDFORD,01730,MIDDLESEX,Y,42.478889,-71.290277,1994-05-31
01,MA,NEW BEDFORD,0100743,MAD980731335,ACUSHNET ESTUARY,NEW BEDFORD,02740,BRISTOL,N,41.643171,-70.919887,1983-09-08
01,MA,"NUCLEAR METALS, INC.",0100550,MAD062166335,2229 MAIN STREET,CONCORD,01742,MIDDLESEX,N,42.441667,-71.421944,2001-06-14
01,MA,NYANZA CHEMICAL WASTE DUMP,0100948,MAD990685422,MEGUNKO RD,ASHLAND,01721,MIDDLESEX,N,42.258611,-71.473611,1983-09-08
01,MA,OLIN CHEMICAL,0100438,MAD001403104,51 EAMES ST,WILMINGTON,01887,MIDDLESEX,N,+42.528056,-071.153889,2006-04-19
01,MA,OTIS AIR NATIONAL GUARD BASE/CAMP EDWARDS,0100960,MA2570024487,OTIS AFB HERBERT RD,FALMOUTH,02542,BARNSTABLE,Y,41.651666,-70.521388,1989-11-21
01,MA,PSC RESOURCES,0100747,MAD980731483,10 WATER ST,PALMER,01069,HAMPDEN,N,42.153331,-72.330281,1983-09-08
