cerclis_id,name,address,county,state,hrs_score,reason,proposed,listed,construction_completed,partially_deleted,deleted,report,latitude,longitude
ALN000410750,35th Avenue,,Jefferson,Alabama,,,9/22/2014,–,–,–,–,,,
AL6210020008,Alabama Army Ammunition Plant,,Talladega,Alabama,,"Soil and groundwater contamination by explosives (including TNT, DNT and 
tetryl) and heavy metals.",10/15/1984,7/22/1987,–,–,–,,,
ALD004022448,Alabama Plating Company,,Shelby,Alabama,,"Groundwater contamination by cyanide and heavy metals including arsenic, 
cadmium, chromium, copper, lead, nickel and zinc has affected a 
recreational fishery and has potential to contaminate drinking water 
supplies.[10]",8/24/2000,9/18/2012,–,–,–,,,
ALD981868466,American Brass,,Henry,Alabama,,"Soil and sediment contamination by PCBs and metals and groundwater 
contamination by boron, nitrate and ammonia from former brass 
smelter/foundry. Nearby creeks are affected.[11]",1/19/1999,5/10/1999,9/1/2009,–,–,,,
AL3210020027,Anniston Army Depot (SE Industrial Area),,Calhoun,Alabama,,"Solid and liquid wastes including metals, cyanide, phenols, pesticides, 
herbicides, chlorinated hydrocarbons, petroleum hydrocarbons, solvents, 
acids, chelating agents, asbestos and creosote. Soil and groundwater are 
contaminated by lead, thallium, antimony and chromium. The well of a nearby 
catfish pond was contaminated by VOCs but no health effects are expected 
from eating fish from the former business.[12]",10/15/1984,3/13/1989,–,–,–,,,
AL0001058056,Capitol City Plume,,Montgomery,Alabama,,"Groundwater under downtown Montgomery is contaminated principally with PCE 
and also with BTEX.[13]",5/11/2000,–,–,–,–,,,
ALD001221902,Ciba-Geigy Corp. (McIntosh Plant),,Washington,Alabama,,"Disposal areas at the plant, which formerly produced pesticides, are 
contaminated with DDT and related products, hexachlorocyclohexane and 
chlorobenzenes.[14]",9/8/1983,9/21/1984,7/19/2000,–,–,,,
ALD041906173,Interstate Lead Company (ILCO),,Jefferson,Alabama,,"Soil and groundwater contamination by lead, antimony, arsenic, cadmium, 
chromium and nickel from a now-bankrupt lead processing company. The site 
includes seven sub-sites around the city of Leeds, where lead-contaminated 
waste was disposed of or used as fill.[15]",9/18/1985,6/10/1986,9/30/2014,–,–,,,
ALD031618069,Mowbray Engineering,,Butler,Alabama,,"Soil was contaminated by PCBs and low levels of phenols, chloroform, 
dichloroethane and TCA from a former transformer repair facility. Spills in 
1975 and 1980 caused fish kills.[16]",12/30/1982,9/8/1983,9/16/1991,–,12/30/1993,,,
ALD008188708,Olin Corp. (McIntosh Plant),,Washington,Alabama,,"Groundwater, used for drinking water supply, is contaminated by mercury and 
chloroform.[17]",9/8/1983,9/21/1984,–,–,–,,,
ALD980728703,Perdido Ground Water Contamination,,Baldwin,Alabama,,"Benzene contamination of drinking water, caused by a 1965 train derailment.
[18]",12/30/1982,9/8/1983,7/30/1993,–,–,,,
AL7210020742,Redstone Arsenal (US Army/NASA),,Madison,Alabama,,"Ground water, soil, sediments, and surface water are contaminated by 
solvents, metals, pesticides, chemical warfare material, and hazardous 
remnants from rocket fuel research, development and testing, including 
perchlorate.[19]",6/23/1993,5/31/1994,–,–,–,,,
ALD980844385,Redwing Carriers Incorporated (Saraland),,Mobile,Alabama,,"The site was formerly used by a trucking company for maintenance and 
cleaning of tank trucks, some of which were used to carry hazardous 
substances. Soil and groundwater contain a tarry sludge contaminated by PAHs, 
pesticides and VOCs.[20]",6/24/1988,2/21/1990,9/3/2009,–,–,,,
