region,state,site_name,site_id,epa_id,address,city,zip,county,ff,lattude,longitude,final_date
1,CT,BARKHAMSTED-NEW HARTFORD LANDFILL,100255,CTD980732333,ROUTE 44,BARKHAMSTED,6063,LITCHFIELD,N,41.893947,-72.989337,1989-10-04
1,CT,BEACON HEIGHTS LANDFILL,100180,CTD072122062,BLACKBERRY HILL ROAD,BEACON FALLS,6403,NEW HAVEN,N,41.43195,-73.035281,1983-09-08
1,CT,DURHAM MEADOWS,100108,CTD001452093,MAIN ST,DURHAM,6422,MIDDLESEX,N,41.48111,-72.681388,1989-10-04
1,CT,GALLUP'S QUARRY,100201,CTD108960972,ROUTE 12,PLAINFIELD,6374,WINDHAM,N,41.665281,-71.924161,1989-10-04
1,CT,KELLOGG-DEERING WELL FIELD,100252,CTD980670814,NORWALK WATER DEPARTMENT,NORWALK,6856,FAIRFIELD,N,41.13055,-73.43195,1984-09-21
1,CT,"LAUREL PARK, INC.",100232,CTD980521165,HUNTERS MTN RD,NAUGATUCK BOROUGH,6770,NEW HAVEN,N,41.476939,-73.071661,1983-09-08
1,CT,LINEMASTER SWITCH CORP.,100041,CTD001153923,29 PLAINE HILL ROAD,WOODSTOCK,6281,WINDHAM,N,41.940561,-71.966939,1990-02-21
1,CT,NEW LONDON SUBMARINE BASE,100261,CTD980906515,ROUTE 12 CRYSTAL LAKE RD,NEW LONDON,6349,NEW LONDON,Y,41.400139,-72.087081,1990-08-30
1,CT,PRECISION PLATING CORP.,100156,CTD051316313,1050 HARTFORD TURNPIKE ROAD,VERNON,6066,TOLLAND,N,41.84975,-72.447911,1989-10-04
1,CT,"RAYMARK INDUSTRIES, INC.",100094,CTD001186618,75 EAST MAIN STREET,STRATFORD,6614,FAIRFIELD,N,41.201278,-73.117222,1995-04-25
1,CT,SCOVILL INDUSTRIAL LANDFILL,102953,CT0002265551,STORE AVENUE,WATERBURY,6705,NEW HAVEN,N,41.550389,-73.010639,2000-07-27
1,CT,SOLVENTS RECOVERY SERVICE OF NEW ENGLAND,100124,CTD009717604,LAZY LANE,SOUTHINGTON,6489,HARTFORD,N,41.6196,-72.878,1983-09-08
1,CT,YAWORSKI WASTE LAGOON,100125,CTD009774969,PACKER ROAD,CANTERBURY,6331,WINDHAM,N,41.66945,-71.964161,1983-09-08
1,MA,ATLAS TACK CORP.,100376,MAD 1026319.00,PLEASANT ST,FAIRHAVEN,2719,BRISTOL,N,41.635561,-70.89445,1990-02-21
1,MA,BAIRD & MCGUIRE,100392,MAD 1041987.00,775 SOUTH ST,HOLBROOK,2343,NORFOLK,N,42.149719,-71.028611,1983-09-08
1,MA,BJAT LLC,106144,MAN000106144,300 FISHER STREET,FRANKLIN,2038,NORFOLK,N,42.074417,-71.410806,2015-09-30
1,MA,BLACKBURN & UNION PRIVILEGES,101713,MAD 982191363.00,SOUTH ST.,WALPOLE,2081,NORFOLK,N,42.138749,-71.251667,1994-05-31
1,MA,CHARLES GEORGE RECLAMATION TRUST LANDFILL,100464,MAD 3809266.00,CORNER DUNSTABLE & CUMMINGS RD,TYNGSBOROUGH,1879,MIDDLESEX,N,42.66945,-71.443339,1983-09-08
1,MA,CREESE & COOK TANNERY (FORMER),100380,MAD 1031574.00,55 CLINTON AVENUE,DANVERS,1923,ESSEX,N,42.553111,-70.926722,2013-05-24
1,MA,FORT DEVENS,100966,MA7210025154,BUENA VISTA ST,FORT DEVENS,1433,MIDDLESEX,Y,42.536111,-71.596111,1989-11-21
1,MA,GROVELAND WELLS,100750,MAD 980732317.00,JOHNSON CREEK WATERSHED,GROVELAND,1834,ESSEX,N,42.753331,-71.038889,1983-09-08
1,MA,HANSCOM FIELD/HANSCOM AIR FORCE BASE,100967,MA8570024424,HARTWELL AVENUE,BEDFORD,1730,MIDDLESEX,Y,42.470666,-71.289444,1994-05-31
1,MA,HAVERHILL MUNICIPAL LANDFILL,100717,MAD 980523336.00,OLD GROVELAND RD,HAVERHILL,1830,ESSEX,N,42.753889,-71.046669,1986-06-10
1,MA,HOCOMONCO POND,100751,MAD 980732341.00,FISHER ST,WESTBOROUGH,1581,WORCESTER,N,42.272781,-71.650831,1983-09-08
1,MA,INDUSTRI-PLEX,100580,MAD 76580950.00,COMMERCE & ATLANTIC,WOBURN,1801,MIDDLESEX,N,42.516669,-71.141669,1983-09-08
1,MA,IRON HORSE PARK,100524,MAD 51787323.00,HIGH ST,BILLERICA,1862,MIDDLESEX,N,42.583331,-71.265269,1984-09-21
1,MA,MICROFAB INC (FORMER),100442,MAD 1409408.00,106 HAVERHILL RD (RTE 110),AMESBURY,1913,ESSEX,N,42.842394,-70.959842,2017-08-02
1,MA,"NATICK LABORATORY ARMY RESEARCH, DEVELOPMENT, AND ENGINEERING CENTER",101831,MA1210020631,100 KANSAS STREET,NATICK,1760,MIDDLESEX,Y,42.288889,-71.363611,1994-05-31
1,MA,NAVAL WEAPONS INDUSTRIAL RESERVE PLANT,102032,MA6170023570,165 HARTWELL ROAD,BEDFORD,1730,MIDDLESEX,Y,42.478889,-71.290277,1994-05-31
1,MA,NEW BEDFORD,100743,MAD 980731335.00,ACUSHNET ESTUARY,NEW BEDFORD,2740,BRISTOL,N,41.643171,-70.919887,1983-09-08
1,MA,"NUCLEAR METALS, INC.",100550,MAD 62166335.00,2229 MAIN STREET,CONCORD,1742,MIDDLESEX,N,42.441667,-71.421944,2001-06-14
1,MA,NYANZA CHEMICAL WASTE DUMP,100948,MAD 990685422.00,MEGUNKO RD,ASHLAND,1721,MIDDLESEX,N,42.258611,-71.473611,1983-09-08
1,MA,OLIN CHEMICAL,100438,MAD 1403104.00,51 EAMES ST,WILMINGTON,1887,MIDDLESEX,N,42.528056,-71.153889,2006-04-19
1,MA,OTIS AIR NATIONAL GUARD BASE/CAMP EDWARDS,100960,MA2570024487,OTIS AFB HERBERT RD,FALMOUTH,2542,BARNSTABLE,Y,41.651666,-70.521388,1989-11-21
1,MA,PSC RESOURCES,100747,MAD 980731483.00,10 WATER ST,PALMER,1069,HAMPDEN,N,42.153331,-72.330281,1983-09-08
1,MA,"RE-SOLVE, INC.",100682,MAD 980520621.00,N HIXVILLE RD,DARTMOUTH,2747,BRISTOL,N,41.688061,-71.033889,1983-09-08
1,MA,ROSE DISPOSAL PIT,100721,MAD 980524169.00,BALANCE ROCK RD,LANESBORO,1237,BERKSHIRE,N,42.5055,-73.2748,1986-06-10
1,MA,SILRESIM CHEMICAL CORP.,100326,MAD 192393.00,86 TANNER ST,LOWELL,1853,MIDDLESEX,N,42.628889,-71.313889,1983-09-08
1,MA,SOUTH WEYMOUTH NAVAL AIR STATION,101826,MA2170022022,1134 MAIN STREET,WEYMOUTH,2190,NORFOLK,Y,42.155277,-70.93347,1994-05-31
1,MA,SULLIVAN'S LEDGE,100744,MAD 980731343.00,HATHAWAY RD,NEW BEDFORD,2740,BRISTOL,N,41.654719,-70.957219,1984-09-21
1,MA,SUTTON BROOK DISPOSAL AREA,100686,MAD 980520696.00,OFF OF SOUTH STREET,TEWKSBURY,1876,MIDDLESEX,N,42.598222,-71.183194,2001-06-14
1,MA,"W.R. GRACE & CO., INC. (ACTON PLANT)",100350,MAD 1002252.00,50 INDEPENDENCE RD,ACTON,1720,MIDDLESEX,N,42.45055,-71.427781,1983-09-08
1,MA,WALTON & LONSBURY INC.,100432,MAD 1197755.00,78 NORTH AVENUE,ATTLEBORO,2703,BRISTOL,N,41.957778,-71.296944,2013-05-24
1,MA,WELLS G&H,100749,MAD 980732168.00,ABERJONA RIVER VALLEY,WOBURN,1801,MIDDLESEX,N,42.494719,-71.130839,1983-09-08
1,ME,BRUNSWICK NAVAL AIR STATION,101073,ME8170022018,RTE 24 AND 123,BRUNSWICK,4011,CUMBERLAND,Y,43.90634,-69.933986,1987-07-22
1,ME,CALLAHAN MINING CORP,101028,MED980524128,HARBORSIDE,BROOKSVILLE (CAPE ROSIER),4617,HANCOCK,N,44.351639,-68.810139,2002-09-05
1,ME,EASTERN SURPLUS,101054,MED981073711,ROUTE 191,MEDDYBEMPS,4657,WASHINGTON,N,45.038889,-67.358333,1996-06-17
1,ME,EASTLAND WOOLEN MILL,101043,MED980915474,MAIN STREET,CORINNA,4928,PENOBSCOT,N,44.921667,-69.261111,1999-07-22
1,ME,KEDDY MILL,106078,MEN000106078,7 DEPOT STREET,WINDHAM,4062,CUMBERLAND,N,43.734953,-70.424514,2014-05-12
1,ME,LEEDS METAL,103584,MEN000103584,OFF OF BLUE ROCK ROAD,LEEDS,4263,ANDROSCOGGIN,N,44.237083,-70.08025,2012-09-18
1,ME,LORING AIR FORCE BASE,101074,ME9570024522,42 CSG/CC,LIMESTONE,4751,AROOSTOOK,Y,46.944444,-67.883888,1990-02-21
1,ME,MCKIN CO.,101027,MED980524078,MAYALL RD,GRAY,4039,CUMBERLAND,N,43.8841,-70.2942,1983-09-08
1,ME,PORTSMOUTH NAVAL SHIPYARD,101072,ME7170022019,SEAVEY ISLAND,KITTERY,3904,YORK,Y,43.084167,-70.741666,1994-05-31
1,ME,SACO MUNICIPAL LANDFILL,101010,MED980504393,FOSS RD,SACO,4072,YORK,N,43.5302,-70.4815,1990-02-21
